transaction_id,user_id,timestamp,amount,location,device_type,is_fraud
325bd8d2-af60-45d4-9b2f-9ef4133072ba,user_8938,2026-06-24 22:07:21,4413.37,Potterport,mobile,0
8a6bef17-5fe3-450a-bad3-0a897b1f2c77,user_2277,2026-06-24 22:07:23,399.14,South Jacobchester,desktop,0
52a7e2bf-ccb3-4dc4-bd36-26c0569d2048,user_8178,2026-06-24 22:07:24,429.88,Lopeztown,mobile,0
e69e18c8-585e-42fc-afcc-7bfce1f19b43,user_2349,2026-06-24 22:07:25,787.98,Lake Alvintown,desktop,0
74bdcdb1-343c-4f27-b48e-3ecce86e2181,user_7400,2026-06-24 22:07:26,2659.89,Lake Rosechester,desktop,0
11830043-55f8-401a-bc2c-86828014d69d,user_5132,2026-06-24 22:07:27,2065.6,Jessefort,tablet,0
e2e34395-4beb-46e5-bd4e-b8d9aacac4e7,user_8184,2026-06-24 22:07:28,3898.68,Markmouth,tablet,0
d9f7f0e0-12fe-4594-9c00-a838470b9db3,user_8995,2026-06-24 22:07:29,4027.61,West Claytonville,mobile,1
b8b2fbed-051c-4f19-a11a-094e117c6a38,user_9329,2026-06-24 22:07:30,583.78,Danielland,desktop,0
51a479d7-3dcb-41c2-af59-7034dc31395b,user_8326,2026-06-24 22:07:31,2124.55,Jessicaport,tablet,0
9586c49f-4d8f-4b63-8cea-f443e47e324c,user_6716,2026-06-24 22:07:32,55.18,New John,mobile,0
43a8513d-19a9-4147-91ba-da2ed024e369,user_6469,2026-06-24 22:07:33,3348.31,Milesborough,mobile,0
f6789cd2-b598-41c8-9683-dc0467f94526,user_5936,2026-06-24 22:07:34,4709.07,West Jeremyborough,tablet,1
e80ba0a4-36ca-4e1c-8ec6-48884c5a4377,user_7445,2026-06-24 22:07:35,1623.27,East Patrick,tablet,0
69318ebd-9d32-4d67-b21d-a4cfe130ec2b,user_8470,2026-06-24 22:07:36,308.01,Nancybury,desktop,0
2292073e-6627-4133-a8eb-6fac0e433699,user_8801,2026-06-24 22:07:37,4954.0,Smithchester,mobile,1
8701d8b2-098a-422a-885b-6c0ca8a6e4c9,user_8464,2026-06-24 22:07:38,453.51,Jackstad,desktop,0
f1a932ff-374e-46db-8059-eb718a426652,user_8900,2026-06-24 22:07:39,2044.34,North Roberto,mobile,0
255ee4e1-2ce8-4cfc-be1b-7da183d29e4e,user_2844,2026-06-24 22:07:40,1110.49,Hammondshire,desktop,0
db3dfdc8-de91-406e-8d2d-f3ca3246b09f,user_3849,2026-06-24 22:07:41,1235.59,Wrightborough,desktop,0
ee6fbdbd-c33f-4324-9f28-c3f88b62e829,user_3628,2026-06-24 22:07:42,2607.75,Andrewburgh,tablet,0
d6e6e6fb-462b-46fb-bf7f-614d06a14d77,user_1840,2026-06-24 22:07:43,1745.07,Sydneyborough,mobile,0
b833e140-0d1e-43d9-8ba6-078b9bc0976b,user_6983,2026-06-24 22:07:44,1472.77,Pagestad,desktop,0
d58d1cbe-b574-46d8-b454-d186a90ae8b2,user_6408,2026-06-24 22:07:45,32.5,New Heatherchester,tablet,0
fd1a0b11-53f8-42d1-aeb5-2017a4c44f8b,user_4975,2026-06-24 22:07:46,776.95,Lake Stephen,mobile,0
0dea08d5-ac30-491a-adae-6b78a4797d94,user_2327,2026-06-24 22:07:47,1640.73,Amberton,mobile,0
d33d4592-ff13-47cb-8c5a-f03726e2435a,user_9745,2026-06-24 22:07:48,2496.26,Darrylville,mobile,0
c96a9782-3b59-4bfe-a9d4-773c09d52e43,user_4472,2026-06-24 22:07:49,1947.97,Justinville,desktop,0
3357ef70-240e-44b9-89b4-69d72b397bc9,user_1831,2026-06-24 22:07:50,4411.67,North Jason,desktop,1
72c936b2-23f9-4530-a306-cbb783cc1e26,user_4603,2026-06-24 22:07:51,3770.04,South Teresa,tablet,0
20279d78-2cea-493d-80bd-6dac9651a143,user_8930,2026-06-24 22:07:52,590.49,Port Paula,mobile,0
0b30178f-5f79-470a-89a6-9b86908299b4,user_2514,2026-06-24 22:07:53,2396.4,Bettyfurt,mobile,0
02a93988-1dc9-4c00-9e15-04b2c783e383,user_5986,2026-06-24 22:07:54,4564.27,Johnhaven,tablet,0
3a296cf7-a7ef-403d-8dd5-5a8597966d30,user_9168,2026-06-24 22:07:55,4849.08,New Jesusmouth,mobile,1
7b32de56-4879-4411-a7ff-bf519ffe15c7,user_7181,2026-06-24 22:07:56,4879.13,Josephport,desktop,1
c01c7bb5-a986-4b27-a9fa-b75d7cf9afa8,user_8613,2026-06-24 22:07:57,1548.57,Lake Royhaven,tablet,0
46126897-202c-4ac9-96b1-2d52d31b9402,user_3222,2026-06-24 22:07:58,407.14,Port Theresatown,tablet,0
55e8ca11-54da-4d33-8d38-e4fc2cd58bbb,user_1568,2026-06-24 22:07:59,1587.64,East Robertview,desktop,0
30f5c5c9-51e1-4e90-8897-e95ca6908e55,user_9608,2026-06-24 22:08:00,732.5,North Samuel,tablet,0
b319641d-88a7-45a6-b0c7-088b911b870d,user_7846,2026-06-24 22:08:01,1614.63,East Theresaville,tablet,0
83c9f427-702a-4b48-8c4d-402bf4a9e3d0,user_8065,2026-06-24 22:08:02,4794.38,East Jacquelineside,mobile,1
ff4a5b78-3f19-46e7-aac9-54eea1a4f2f7,user_9780,2026-06-24 22:08:03,3793.44,Simpsonshire,desktop,0
0eb6c7c6-03d9-419e-8358-3c288faad00e,user_7720,2026-06-24 22:08:04,608.49,Pottsmouth,mobile,0
4c880d61-c846-413b-8df3-fb564d8824c0,user_8321,2026-06-24 22:08:05,4058.35,Johnbury,desktop,0
964bb2fd-080d-4f85-9145-d9a00845d90c,user_5220,2026-06-24 22:08:06,2099.71,Kimstad,desktop,0
37599574-e826-432b-9345-897ae49cf4aa,user_9614,2026-06-24 22:08:07,3968.39,Port Robert,tablet,0
b74a5068-53b3-404f-b10b-a8ddd27779b8,user_6505,2026-06-24 22:08:08,4512.94,Meadowsville,tablet,0
cf6ca00d-5d53-4121-a158-3e13405d1bfe,user_9915,2026-06-24 22:08:09,4235.25,Debraside,desktop,1
d6bd76da-0c0d-4a35-9331-240ae14f0178,user_7850,2026-06-24 22:08:10,3234.87,Lake Benjamin,mobile,0
ebcf3a63-76cf-4332-a512-3f248fe4067f,user_4402,2026-06-24 22:08:11,1518.45,Gardnerborough,desktop,0
4c524322-c841-4f8e-82b5-5fb06e743367,user_7250,2026-06-24 22:08:12,2126.84,Bradleyhaven,mobile,0
29ae98dd-d853-4051-abca-f34b01ad3cdd,user_5469,2026-06-24 22:08:13,2976.29,Andrewhaven,tablet,0
